scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,redlistCategory,populationTrend,scientific_resolved,English,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,Diet.5Cat,PelagicSpecialist,Nocturnal,BodyMass.Value,Diet.VertFishScav,Diet.FruiNect,Diet.PlantSeed,Diet.AllPlants,Effect_Order,Effect_Family,Effect_Species,effect_diet,effect_mass,log10_density,density,body_mass_kg,home_range_size,dispersal_dist,min_patch_size,min_patch_size500,level1_habitats,habitats_mixed,diet_combo,a_pred,b_pred
accipiter madagascariensis,ANIMALIA,CHORDATA,accipitriformes,AVES,accipitridae,Accipiter,madagascariensis,Near Threatened,Decreasing,accipiter madagascariensis,Madagascar Sparrowhawk,20,60,20,0,0,0,0,0,0,0,VertFishScav,0,0,180.41,80,0,0,0,-0.462666813,-0.048329803,0,0,-0.770011158,0.028466274,1.067741871,0.18041,3.032450917,20.8967206,9.365559478,468.2779739,"Forest, Shrubland","Forest, Shrubland",20_0_80,297413.1156,1.533014532
coua coquereli,ANIMALIA,CHORDATA,cuculiformes,AVES,cuculidae,Coua,coquereli,Least Concern,Decreasing,coua coquereli,Coquerel's Coua,80,0,0,0,0,0,20,0,0,0,Invertebrate,0,0,160,0,20,0,20,-0.065712095,-0.006864233,0.236681835,0.181241393,-0.752216733,0.902604216,7.991056772,0.16,0.592,9.23298435,1.251398943,62.56994716,"Forest, Shrubland","Forest, Shrubland",80_20_0,44879213.25,2.500529112
coua serriana,ANIMALIA,CHORDATA,cuculiformes,AVES,cuculidae,Coua,serriana,Least Concern,Decreasing,coua serriana,Red-breasted Coua,10,0,0,0,0,0,70,0,20,0,FruiNect,0,0,293,0,70,20,90,-0.065712095,-0.006864233,0,0.427606144,-0.84188661,0.822617254,6.646871051,0.293,1.0841,12.49441475,1.504467278,75.22336392,Forest,Forest,10_90_0,456596.4972,1.630681025
coua cursor,ANIMALIA,CHORDATA,cuculiformes,AVES,cuculidae,Coua,cursor,Least Concern,Decreasing,coua cursor,Running Coua,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,110,0,0,0,0,-0.065712095,-0.006864233,0,0.181241393,-0.696681554,0.721457559,5.26571754,0.11,0.407,7.655586196,1.899076417,94.95382086,"Forest, Shrubland","Forest, Shrubland",100_0_0,117203053.7,2.679897192
apus balstoni,ANIMALIA,CHORDATA,caprimulgiformes,AVES,apodidae,Apus,balstoni,Least Concern,Decreasing,apus balstoni,Madagascar Swift,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,42.8,0,0,0,0,0.064764599,0.052989397,0,0.181241393,-0.556775181,1.051694257,11.2640419,0.0428,0.15836,4.775336637,0.887780789,44.38903945,"Marine Coastal/Supratidal, Forest","Marine Coastal/Supratidal, Forest",100_0_0,219088987.7,2.72353355
asio madagascariensis,ANIMALIA,CHORDATA,strigiformes,AVES,strigidae,Asio,madagascariensis,Least Concern,Decreasing,asio madagascariensis,Madagascar Owl,0,90,10,0,0,0,0,0,0,0,VertFishScav,0,1,407,100,0,0,0,0.019870994,0.002075708,0,0,-0.890596063,0.440824687,2.759463709,0.407,7.604330381,33.09114043,3.623892559,181.1946279,"Forest, Artificial - Terrestrial","Forest, Plantations & Heavily Degraded Former Forest",0_0_100,35962.64085,1.206683883
philepitta castanea,ANIMALIA,CHORDATA,passeriformes,AVES,philepittidae,Philepitta,castanea,Least Concern,Decreasing,philepitta castanea,Velvet Asity,0,0,0,0,0,0,30,60,0,10,FruiNect,0,0,35.4,0,90,10,100,0.637010004,0,0,0.427606144,-0.528640084,1.845450112,70.05677032,0.0354,0.13098,4.342939097,0.142741379,7.137068948,"Forest, Artificial - Terrestrial","Forest, Plantations & Heavily Degraded Former Forest",0_100_0,255143.8214,1.442639524
neodrepanis coruscans,ANIMALIA,CHORDATA,passeriformes,AVES,philepittidae,Neodrepanis,coruscans,Least Concern,Decreasing,neodrepanis coruscans,Sunbird Asity,20,0,0,0,0,0,0,80,0,0,FruiNect,0,0,6.5,0,80,0,80,0.637010004,0,0,0.427606144,-0.277429103,2.096661093,124.9283757,0.0065,0.02405,1.86096749,0.080045866,4.002293293,Forest,Forest,20_80_0,3468062.805,1.807054659
foudia madagascariensis,ANIMALIA,CHORDATA,passeriformes,AVES,ploceidae,Foudia,madagascariensis,Least Concern,Stable,foudia madagascariensis,Madagascar Red Fody,20,0,0,0,0,0,0,10,70,0,PlantSeed,0,0,16.59,0,10,70,80,0.637010004,-0.010473234,0,0.343128641,-0.416306222,1.862833237,72.91774623,0.01659,0.061383,2.973071139,0.137140827,6.857041336,"Shrubland, Artificial - Terrestrial, Forest, Savanna","Shrubland, Forest, Savanna, Arable & Pastureland, Plantations & Heavily Degraded Former Forest, Urban & Rural Gardens",20_80_0,2957919.178,1.82634732
hartlaubius auratus,ANIMALIA,CHORDATA,passeriformes,AVES,sturnidae,Hartlaubius,auratus,Least Concern,Decreasing,saroglossa aurata,Madagascar Starling,20,0,0,0,0,0,60,20,0,0,FruiNect,0,0,40.5,0,80,0,80,0.637010004,-0.044001272,0,0.427606144,-0.548588359,1.781500564,60.46451372,0.0405,0.14985,4.645255644,0.165386264,8.269313176,"Shrubland, Forest","Shrubland, Forest",20_80_0,2559827.729,1.844649509
